t (s),V (mV)
0,12.9824
1,12.9202
2.001,12.8518
3.001,12.7778
4,12.7129
5,12.6381
6.001,12.5689
7.001,12.5012
8,12.4341
9.001,12.3625
10,12.2929
11.001,12.2235
12,12.1593
13.001,12.0896
14,12.0214
15,11.9503
16.001,11.8865
17,11.8204
18,11.7554
19.001,11.6868
20,11.6223
21,11.5577
22,11.4925
23,11.4292
24.001,11.3584
25,11.2928
26,11.2365
27,11.1717
28.001,11.1086
29,11.0509
30.001,10.9844
31.001,10.9244
32,10.855
33.001,10.8002
34,10.7425
35.001,10.6806
36.001,10.6212
36.999,10.563
37.999,10.5022
38.999,10.4453
39.999,10.3864
40.999,10.3288
41.999,10.266
42.999,10.2159
43.999,10.1571
45,10.1001
45.999,10.039
47.001,9.985
48,9.9306
49,9.875
50,9.8203
51,9.7647
52,9.7101
53.001,9.6523
54,9.5991
55,9.5412
56.001,9.4933
57.001,9.4376
58,9.3851
59,9.335
60,9.2801
61,9.2292
62,9.1784
63,9.1312
64,9.0763
65.001,9.0271
66,8.9779
67.001,8.9267
68,8.8795
69.001,8.8316
70,8.7836
71,8.7326
72,8.6845
73,8.6373
74,8.5891
75.001,8.5397
76,8.4926
77,8.4467
78,8.4
79,8.3534
80.001,8.3051
81,8.2599
82.001,8.2145
83,8.1695
84.001,8.1222
85,8.0766
86,8.033
87.001,7.9877
88,7.9423
89,7.8965
90,7.8518
91,7.8097
92,7.7675
93,7.7234
94,7.6803
95,7.6355
96,7.5942
97,7.548
98,7.5086
99,7.4684
100,7.4243
101.001,7.3832
102,7.3418
103,7.3
104,7.2599
105,7.2179
106.001,7.1746
107,7.1384
108.001,7.0965
109,7.0543
110,7.016
111,6.978
112,6.9398
113,6.9002
114,6.862
115.001,6.8206
116.001,6.7845
117,6.7441
118.001,6.7097
119,6.6696
120.001,6.6343
121,6.5948
122.001,6.5595
123,6.5228
124,6.4836
125,6.4497
126,6.4159
127,6.3798
128,6.3438
129,6.3072
130,6.271
131,6.2389
132,6.2006
133,6.1697
134,6.1328
135,6.0996
136,6.0642
137,6.0332
138,5.9954
