t (s),V (mV)
0,15.4741
0.983,15.4473
1.988,15.4433
2.983,15.4061
3.983,15.3618
4.984,15.3177
5.983,15.2938
6.983,15.2686
7.983,15.2203
8.983,15.1742
9.983,15.1524
10.983,15.1148
11.983,15.0842
12.983,15.0562
13.988,15.0049
14.983,14.9672
15.983,14.9314
16.983,14.8957
17.984,14.8636
18.983,14.8372
19.984,14.8017
20.983,14.7559
21.983,14.7254
22.983,14.6842
23.983,14.6615
24.983,14.6033
25.988,14.5855
26.984,14.5467
27.983,14.5122
28.983,14.4748
29.983,14.4504
30.983,14.4097
31.984,14.3834
32.983,14.3439
33.984,14.3296
34.983,14.2956
35.983,14.2553
36.983,14.217
37.983,14.1876
38.983,14.1601
39.984,14.1251
40.983,14.0993
41.983,14.0487
42.984,14.0404
43.983,13.9997
44.983,13.9842
45.983,13.9428
46.983,13.9118
47.984,13.8887
48.983,13.8584
49.984,13.8257
50.984,13.7993
51.984,13.7561
52.983,13.7277
53.983,13.7027
54.983,13.668
55.983,13.643
56.984,13.6147
57.983,13.5817
58.984,13.5441
59.983,13.5182
60.984,13.4919
61.988,13.4592
62.984,13.437
63.983,13.402
64.984,13.378
65.983,13.3405
66.983,13.32
67.983,13.2824
68.983,13.2748
69.983,13.2292
70.983,13.1994
71.983,13.1817
72.983,13.1408
73.983,13.1173
74.983,13.0813
75.984,13.0656
76.984,13.0215
77.983,12.9962
78.983,12.9617
79.983,12.9322
80.983,12.9018
81.983,12.8864
82.984,12.861
83.983,12.8205
84.983,12.8067
85.984,12.7774
86.983,12.7479
87.984,12.7196
88.983,12.6919
89.984,12.6603
90.983,12.6319
91.983,12.6
92.984,12.5816
93.983,12.5546
94.983,12.5335
95.984,12.5059
96.983,12.4761
97.983,12.4525
98.983,12.4283
99.983,12.3929
100.983,12.3723
101.983,12.3495
102.984,12.3203
103.983,12.2986
104.984,12.2827
105.984,12.2497
106.983,12.2314
107.983,12.2009
108.984,12.1781
109.99,12.157
110.983,12.1368
111.984,12.1147
112.983,12.0782
113.983,12.0598
114.984,12.0214
115.983,12.007
116.983,11.9732
117.983,11.9417
118.983,11.9368
119.984,11.9112
120.983,11.8742
121.983,11.8298
122.983,11.8103
123.983,11.7958
124.983,11.7831
125.983,11.7557
126.984,11.7271
127.984,11.7058
128.983,11.6863
129.983,11.6691
130.984,11.6365
131.983,11.6179
132.983,11.5909
133.984,11.5696
134.983,11.5436
135.983,11.5265
136.983,11.5136
137.984,11.4777
138.983,11.468
139.984,11.4452
140.983,11.4134
141.984,11.3873
142.983,11.3709
143.984,11.337
144.983,11.3135
145.988,11.2911
146.983,11.2704
147.983,11.2591
148.984,11.2233
149.983,11.2085
150.983,11.1839
151.983,11.1621
152.984,11.1433
153.984,11.1087
154.983,11.0966
155.984,11.0626
156.983,11.0376
157.983,11.013
158.983,11.0009
159.984,10.9837
160.984,10.9585
161.983,10.9311
162.983,10.9082
163.983,10.8966
164.983,10.8746
165.983,10.8588
166.984,10.856
167.984,10.828
168.983,10.8154
169.983,10.7864
170.984,10.7605
171.983,10.7474
172.984,10.7249
173.983,10.7021
174.983,10.6713
175.988,10.6539
176.983,10.6332
177.983,10.6026
178.982,10.5809
179.982,10.5717
180.983,10.5563
181.982,10.5296
182.982,10.5118
183.983,10.4894
184.982,10.4646
185.983,10.4599
186.982,10.4325
187.988,10.4085
188.982,10.3847
189.983,10.365
190.982,10.3523
191.982,10.329
192.982,10.3126
193.982,10.2929
194.982,10.2643
195.982,10.2591
196.983,10.2349
197.982,10.2023
198.982,10.1861
199.983,10.1693
200.982,10.1535
201.982,10.1391
202.982,10.1115
203.982,10.0952
204.982,10.0695
205.987,10.0548
206.982,10.0444
207.983,10.0154
208.982,10.0027
209.984,9.9748
210.983,9.9652
211.983,9.9466
212.984,9.9153
213.983,9.8855
214.983,9.8847
215.984,9.8782
216.983,9.8444
217.984,9.8182
218.983,9.8063
219.984,9.8052
220.983,9.7784
221.983,9.7723
222.983,9.7428
223.983,9.7259
224.983,9.7085
225.984,9.6875
226.983,9.6538
227.983,9.6329
228.983,9.627
229.988,9.6076
230.983,9.5976
231.983,9.5732
232.983,9.5471
233.983,9.5362
234.983,9.5259
235.984,9.5064
236.984,9.4793
237.983,9.4607
238.983,9.4567
239.984,9.435
240.983,9.4227
241.983,9.4
242.983,9.3737
243.984,9.3566
244.983,9.3459
245.983,9.3206
246.984,9.2965
247.983,9.2788
248.983,9.2734
249.983,9.2464
250.983,9.2367
251.984,9.2165
252.983,9.2069
253.983,9.1915
254.984,9.1795
255.983,9.1519
256.983,9.1415
257.984,9.1266
258.983,9.1027
259.988,9.0819
260.983,9.0726
261.983,9.0549
262.983,9.038
263.984,9.0264
264.983,9.0012
265.983,8.974
266.984,8.9587
267.983,8.9466
268.983,8.9256
269.983,8.917
270.983,8.902
271.983,8.887
272.983,8.8814
273.983,8.8661
274.983,8.8415
275.983,8.811
276.984,8.7892
277.983,8.778
278.983,8.7646
279.984,8.7503
280.983,8.7321
281.983,8.7227
282.984,8.7022
283.983,8.6822
284.984,8.6681
285.983,8.6531
286.984,8.6331
287.983,8.6248
288.983,8.6084
289.984,8.5967
290.984,8.5829
291.984,8.5708
292.983,8.5577
293.984,8.5299
294.983,8.5175
295.984,8.505
296.984,8.4695
297.983,8.4635
298.983,8.4575
299.984,8.4473
300.983,8.4188
301.984,8.4064
302.983,8.3968
303.984,8.3685
304.983,8.3489
305.983,8.3416
306.984,8.32
307.986,8.3079
308.984,8.2847
309.983,8.2748
310.983,8.2585
311.983,8.2468
312.983,8.2318
